"vid","votecount","votecount_rank"
v19810,186,1579
v36663,186,1579
v13066,186,1579
v16134,185,1586
v18683,185,1586
v1675,185,1586
v22784,185,1586
v31669,185,1586
v60,185,1586
v18850,185,1586
v6256,185,1586
v3941,185,1586
v17708,185,1586
v55357,185,1586
v20006,184,1597
v18959,184,1597
v11224,184,1597
v3194,184,1597
v20444,184,1597
v23441,184,1597
v10803,183,1603
v10801,183,1603
v25132,183,1603
v31125,183,1603
v18113,183,1603
v18678,183,1603
v28915,183,1603
v31272,183,1603
v15288,183,1603
v29329,183,1603
v3333,183,1603
v25832,183,1603
v28800,183,1603
v16580,182,1616
v13321,182,1616
v15493,182,1616
v20003,182,1616
v11133,182,1616
v8491,182,1616
v18766,182,1616
v29872,182,1616
v24917,182,1616
v47054,182,1616
v6291,182,1616
v29814,181,1627
v50880,181,1627
v24215,181,1627
v27151,181,1627
v7805,181,1627
v6747,181,1627
v7633,181,1627
v83,181,1627
v12995,180,1635
v52778,180,1635
v11118,180,1635
v26435,180,1635
v7304,180,1635
v11717,180,1635
v17271,180,1635
v22242,180,1635
v16218,180,1635
v8534,180,1635
v29842,180,1635
v32183,179,1646
v7442,179,1646
v16082,179,1646
